district,facility,latitude,longitude,source
Abim,Abim General Hospital,2.698421,33.657635,Uganda MFL
Abim,Abim Obolokome Health Centre II,2.588517,33.790931,Uganda MFL
Abim,Adea Health Centre II,2.514285,33.665456,Uganda MFL
Abim,Alerek Health Centre III,2.798173,33.726127,Uganda MFL
Abim,Amita Prisons Health Centre II,2.719767,33.551498,Uganda MFL
Abim,Arembwola Health Centre II,2.718538,33.585473,Uganda MFL
Abim,Atunga Health Centre II,2.745802,33.676000,Uganda MFL
Abim,Awach Health Centre II,2.629728,33.568034,Uganda MFL
Abim,Gangming Health Centre II,2.553427,33.591264,Uganda MFL
Abim,Kanu Health Centre II,2.706127,33.608328,Uganda MFL
Abim,Katabok (Abim) Health Centre II,2.592487,33.722407,Uganda MFL
Abim,Kiru Health Centre II,2.638939,33.663533,Uganda MFL
Abim,Koya Health Centre II,2.726238,33.716745,Uganda MFL
Abim,Morulem Health Centre III,2.589492,33.757386,Uganda MFL
Abim,Nyakwae Health Centre III,2.527386,33.946472,Uganda MFL
Abim,Opopongo Health Centre II,2.611356,33.873686,Uganda MFL
Abim,Oreta Health Centre II,2.492153,33.910445,Uganda MFL
Abim,Orwamuge Health Centre III,2.535943,33.621682,Uganda MFL
Abim,Oscar Military Battalion Health Centre II,2.584551,33.650145,Uganda MFL
Abim,Pupu Kamuya Health Centre II,2.507543,33.877258,Uganda MFL
Abim,Wilela Health Centre II,2.655102,33.712791,Uganda MFL
Amudat,Abiliyep Health Centre III,2.101644,34.893388,Uganda MFL
Amudat,Achorichor Health Centre II,2.101842,34.819227,Uganda MFL
Amudat,Alakas Health Centre II,1.858830,34.995733,Uganda MFL
Amudat,Amudat Health Centre II,1.930592,34.952909,Uganda MFL
Amudat,Amudat Hospital,1.953373,34.943183,Uganda MFL
Amudat,Cheptapoyo Health Centre II,1.662541,34.946440,Uganda MFL
Amudat,Karita Health Centre IV,1.545105,34.832576,Uganda MFL
Amudat,Katabok Health Centre III,1.727683,34.925105,Uganda MFL
Amudat,Lokales Health Centre II,1.449163,34.729772,Uganda MFL
Amudat,Loroo Health Centre III,2.207894,34.898052,Uganda MFL
Arua,Kuluva Hospital,2.945911,30.933686,Uganda MFL
Arua City,Tropical Medical Health Centre II,3.039605,30.887963,Uganda MFL
Isingiro,Kanywamaizi Health Centre III,-0.894585,30.629045,Uganda MFL
Kaabong,Kaabong General Hospital,3.512735,34.132188,Uganda MFL
Kaabong,Kaabong Mission Health Centre III,3.525578,34.126032,Uganda MFL
Kaabong,Kaabong Police Health Centre II,3.517079,34.132526,Uganda MFL
Kaabong,Kaimese Health Centre III,3.530057,34.046412,Uganda MFL
Kaabong,Kakamar Health Centre II,3.492531,34.114418,Uganda MFL
Kaabong,Kalapata Health Centre III,3.660935,34.190687,Uganda MFL
Kaabong,Kamacharikol Health Centre II,3.610664,34.095735,Uganda MFL
Kaabong,Kamion Health Centre III,3.732044,34.249949,Uganda MFL
Kaabong,Kathile Health Centre III,3.650015,34.078070,Uganda MFL
Kaabong,Kopoth Health Centre III,3.365087,34.123309,Uganda MFL
Kaabong,Lochom Health Centre II,3.420418,34.145079,Uganda MFL
Kaabong,Lodiko Health Centre II,3.536625,34.155104,Uganda MFL
Kaabong,Lokanayona Health Centre II,3.376805,34.232502,Uganda MFL
Kaabong,Lokerui Health Centre II,3.552505,34.082389,Uganda MFL
Kaabong,Lokolia Health Centre III,3.590907,34.141026,Uganda MFL
Kaabong,Lokwakaramoe Health Centre II,3.718364,34.125842,Uganda MFL
Kaabong,Lomeris Health Centre II,3.526108,34.094607,Uganda MFL
Kaabong,Lomodoch Health Centre II,3.565608,34.029893,Uganda MFL
Kaabong,Lotim Health Centre II,3.658480,34.117276,Uganda MFL
Kaabong,Loyoro Health Centre III,3.326299,34.239251,Uganda MFL
Kaabong,Morukori Health Centre II,3.621753,34.153561,Uganda MFL
Kaabong,Morulem Health Centre II,3.605885,34.180766,Uganda MFL
Kaabong,Narengepak Health Centre II,3.672990,34.017623,Uganda MFL
Kaabong,Nariamaoi Health Centre II,3.616878,34.048493,Uganda MFL
Kaabong,Timu Health Centre II,3.654471,34.275661,Uganda MFL
Kaabong,Usake Health Centre II,3.778755,34.036334,Uganda MFL
Kampala,Butabika National Referral Hospital,0.314992,32.658506,Uganda MFL
Kampala,Kisugu Health Centre III,0.306515,32.611936,Uganda MFL
Kamwenge,Kyempango Health Centre III,0.283908,30.680008,Uganda MFL
Kamwenge,Rukunyu General Hospital,0.258160,30.449204,Uganda MFL
Karenga,Kacholo Health Centre III,3.763198,33.938611,Uganda MFL
Karenga,Kalimon Health Centre III,3.612162,33.900854,Uganda MFL
Karenga,Kapedo Health Centre III,3.687125,33.944079,Uganda MFL
Karenga,Karenga Health Centre IV,3.566056,33.696380,Uganda MFL
Karenga,Kidepo Health Centre II,3.612026,33.690275,Uganda MFL
Karenga,Kocholo Health Centre II,3.767406,33.899089,Healthsites/OSM (exact)
Karenga,Lobalangit Health Centre III,3.476185,33.692093,Uganda MFL
Karenga,Lokori Health Centre II,3.639212,33.642073,Uganda MFL
Karenga,Pire Health Centre II,3.509552,33.662427,Uganda MFL
Karenga,St. Jude Kapedo Health Centre II,3.685721,33.949821,Uganda MFL
Kikuube,Bugambe Tea Health Centre III,1.442716,31.202969,Uganda MFL
Kikuube,Kabwoya Health Centre III,1.246056,31.084991,Uganda MFL
