"id","uid","name","shortname","longtitude","latitude","nhfrid","subcounty_uid","subcounty","district_uid","district","region","hflevel","ownership","authority","status","report"
"1","pUeR6j03GhJ","Adilang Subcounty Field Survey Station 001","SG-AGAGO-001","33.4502","2.668848","9000000000001","FihNC5KfGJV","Adilang Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"2","FvewOonC8lS","Adilang Town Council Field Survey Station 001","SG-AGAGO-001","33.475305","2.741335","9000000000002","nXAQOdNQCIo","Adilang Town Council","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"3","G51dLKvQTxh","Adilang Town Council Field Survey Station 002","SG-AGAGO-002","33.477844","2.743743","9000000000003","nXAQOdNQCIo","Adilang Town Council","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","PNFP","UCMB","Functional","Reporting"
"4","RHk4V3ZlFbx","Agago Town Council Field Survey Station 001","SG-AGAGO-001","33.338962","2.835436","9000000000004","lhKxF8mfub4","Agago Town Council","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"5","wLkwoyLOOZe","Agengo Subcounty Field Survey Station 001","SG-AGAGO-001","33.192796","2.925697","9000000000005","kYiQXgFKSkQ","Agengo Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"6","cPeDqm6vYHn","Agengo Subcounty Field Survey Station 002","SG-AGAGO-002","33.193728","2.820513","9000000000006","kYiQXgFKSkQ","Agengo Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"7","QaoM6583QZW","Ajali Subcounty Field Survey Station 001","SG-AGAGO-001","33.388625","2.825156","9000000000007","vAPl9BMv3lt","Ajali Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"8","aKoVWgIufTx","Arum Subcounty Field Survey Station 001","SG-AGAGO-001","33.050428","2.731935","9000000000008","y2tqwpJlSZd","Arum Subcounty","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"9","WgXtPbUAyJD","Geregere Subcounty Field Survey Station 001","SG-AGAGO-001","33.234658","2.769527","9000000000009","ollO9yOclEb","Geregere Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"10","y8q1syPdfdK","Kalongo Town Council Field Survey Station 001","SG-AGAGO-001","33.37204","3.04341","9000000000010","RXwynIETRuW","Kalongo Town Council","ztIyIYAzFKp","Agago District","Acholi","Regional Operations Hub","PNFP","UCMB","Functional","Reporting"
"11","xErihzThO6h","Kotomor Subcounty Field Survey Station 001","SG-AGAGO-001","33.348372","2.643039","9000000000011","nmK9yk0kjmP","Kotomor Subcounty","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"12","s21e0ARLfsE","Kotomor Subcounty Field Survey Station 002","SG-AGAGO-002","33.273415","2.639486","9000000000012","nmK9yk0kjmP","Kotomor Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"13","eVHfL3dqKR5","Kotomor Subcounty Field Survey Station 003","SG-AGAGO-003","33.405462","2.640292","9000000000013","nmK9yk0kjmP","Kotomor Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"14","TTIgbcijnJz","Kuywee Subcounty Field Survey Station 001","SG-AGAGO-001","33.302483","3.057506","9000000000014","OCsQzKO3T3S","Kuywee Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"15","IOuCAfFo6J4","Kuywee Subcounty Field Survey Station 002","SG-AGAGO-002","33.27052","3.091677","9000000000015","OCsQzKO3T3S","Kuywee Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"16","RM8vegpr7j7","Lai Mutu Town Council Field Survey Station 001","SG-AGAGO-001","33.432854","3.123609","9000000000016","dNQaOVGkCI1","Lai Mutu Town Council","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"17","fIGI5AZsJHF","Lamiyo Subcounty Field Survey Station 001","SG-AGAGO-001","33.111148","2.811759","9000000000017","QpcgX2e3WIK","Lamiyo Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"18","gEJIdy608EI","Lamiyo Subcounty Field Survey Station 002","SG-AGAGO-002","33.055155","2.807232","9000000000018","QpcgX2e3WIK","Lamiyo Subcounty","ztIyIYAzFKp","Agago District","Acholi","Subcounty Field Station","GOV","Local Government","Functional","Reporting"
"19","h0zUXZyCyJL","Laperebong Subcounty Field Survey Station 001","SG-AGAGO-001","33.427424","2.750191","9000000000019","Lf5vTc3Z42M","Laperebong Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"20","CYCMFtMgnfI","Laperebong Subcounty Field Survey Station 002","SG-AGAGO-002","33.423227","2.712824","9000000000020","Lf5vTc3Z42M","Laperebong Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"21","DjuTQL7H5ck","Lapono Subcounty Field Survey Station 001","SG-AGAGO-001","33.470324","2.940914","9000000000021","qUDCFxUq4uw","Lapono Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"22","pBrduMkhHQy","Lapono Subcounty Field Survey Station 002","SG-AGAGO-002","33.462597","2.982532","9000000000022","qUDCFxUq4uw","Lapono Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
"23","ifSPcuzT8Iw","Lapono Subcounty Field Survey Station 003","SG-AGAGO-003","33.441621","2.939501","9000000000023","qUDCFxUq4uw","Lapono Subcounty","ztIyIYAzFKp","Agago District","Acholi","Community Enumeration Point","GOV","Local Government","Functional","Reporting"
