"facility","facility_uid","subcounty","subcounty_uid","municipality","municipality_uid","district","district_uid","region","region_uid"
"Pader Subcounty Field Survey Station 001","auzuV39xOTU","Pader Subcounty","uMZROveCZt0","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 001","b2LlvIFGc5U","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Lira Kato Subcounty Field Survey Station 001","aGfndLfPcOz","Lira Kato Subcounty","WwUCbB1nYLS","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Abuga Subcounty Field Survey Station 001","JryqknC2SNp","Abuga Subcounty","HYvogxrVIB7","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Odek Subcounty Field Survey Station 001","aaEtUWpmosm","Odek Subcounty","acQJJL9aUo0","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Acet Town Council Field Survey Station 001","b5RkGqLLhrM","Acet Town Council","nN0Aw1Ab8Im","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Acholibur Town Council Field Survey Station 001","KgFiiUmrRxI","Acholibur Town Council","wNunka5Y2uu","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Arum Subcounty Field Survey Station 001","aKoVWgIufTx","Arum Subcounty","y2tqwpJlSZd","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Agengo Subcounty Field Survey Station 001","wLkwoyLOOZe","Agengo Subcounty","kYiQXgFKSkQ","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Adilang Town Council Field Survey Station 001","FvewOonC8lS","Adilang Town Council","nXAQOdNQCIo","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 002","CkUZza1MI3Y","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Agoro Subcounty Field Survey Station 001","tvKjvN8d4rR","Agoro Subcounty","pTX9sgiNkqB","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Orom Subcounty Field Survey Station 001","GHx4dLfIox3","Orom Subcounty","iDEPY2bO8nQ","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Lagoro Subcounty Field Survey Station 001","aWMoXZucGiV","Lagoro Subcounty","aUTx89Nc5z1","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Orom Subcounty Field Survey Station 002","QgpawnbKpCj","Orom Subcounty","iDEPY2bO8nQ","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Palabek Ogili Subcounty Field Survey Station 001","pkhPSHZSnr3","Palabek Ogili Subcounty","YxleBIY0wms","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Alero Subcounty Field Survey Station 001","EPyMwPkmKPx","Alero Subcounty","fT98rg0rZFy","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Lapul Subcounty Field Survey Station 001","SFDIr8urO72","Lapul Subcounty","ayMSTn5sz80","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Puranga Subcounty Field Survey Station 001","M2Es7QYNu3D","Puranga Subcounty","CyUUpNIQ98L","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 001","YLwAhOTWHrQ","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Adilang Subcounty Field Survey Station 001","pUeR6j03GhJ","Adilang Subcounty","FihNC5KfGJV","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Ajan Subcounty Field Survey Station 001","DEr5sDrC7T2","Ajan Subcounty","HSBjlZdFpWn","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Amuru Town Council Field Survey Station 001","UJ0t5BYVpBM","Amuru Town Council","YG7bSJaIniu","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Amuru Subcounty Field Survey Station 001","aFgrVHVDqoZ","Amuru Subcounty","acwO6ZCWJj7","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Amuru Subcounty Field Survey Station 002","aqCLIBUuDgw","Amuru Subcounty","acwO6ZCWJj7","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Lapono Subcounty Field Survey Station 001","DjuTQL7H5ck","Lapono Subcounty","qUDCFxUq4uw","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Anaka Town Council Field Survey Station 001","PgRLMNQdejC","Anaka Town Council","wGT5jjiP2kz","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Palabek Gem Subcounty Field Survey Station 001","bLzMzz5fzGQ","Palabek Gem Subcounty","a1HgVn8Q288","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Angagura Subcounty Field Survey Station 001","ygTUi4HvPHJ","Angagura Subcounty","DqOwtu7833e","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Unyama Subcounty Field Survey Station 001","P2sdfoxH0a7","Unyama Subcounty","Anb2BySBeLP","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Awere Subcounty Field Survey Station 001","LFkCyiudO0u","Awere Subcounty","OkLwuZ0WpVb","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Pabo Subcounty Field Survey Station 001","VomjjgKAFjr","Pabo Subcounty","EgcvIoAN7Ti","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Purongo Subcounty Field Survey Station 001","MT5KksXURUZ","Purongo Subcounty","GhrSbqvL2At","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Palabek Ogili Subcounty Field Survey Station 002","mG8iTKOSCCi","Palabek Ogili Subcounty","YxleBIY0wms","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Ajan Subcounty Field Survey Station 002","oTrkUug8GKl","Ajan Subcounty","HSBjlZdFpWn","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Angagura Subcounty Field Survey Station 002","SkWkhr3XlQR","Angagura Subcounty","DqOwtu7833e","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Atanga Town Council Field Survey Station 001","SF33CGHTeUn","Atanga Town Council","uHmVhpbgvZJ","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Atiak Town Council Field Survey Station 001","i5CDWEBfo9n","Atiak Town Council","lkPGXsMpP8M","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Awach Subcounty Field Survey Station 001","Z1dfGmIoSeF","Awach Subcounty","nd7BxeKY0BC","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Lamogi Subcounty Field Survey Station 001","XdXAfIaLuld","Lamogi Subcounty","COaxzbRhsBA","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Awere Subcounty Field Survey Station 002","arbBXd1KN8n","Awere Subcounty","OkLwuZ0WpVb","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Palabek Ogili Subcounty Field Survey Station 003","uhK5lYkfbvk","Palabek Ogili Subcounty","YxleBIY0wms","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Akidi Subcounty Field Survey Station 001","zardxfXWmkO","Akidi Subcounty","rkTeHGjsBq0","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Atiak Subcounty Field Survey Station 001","KSVxJfpwdlo","Atiak Subcounty","ftLtvhHg24p","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 003","aE0Yzd3YZQ9","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 002","aKP6B0Z5nbZ","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Elegu Town Council Field Survey Station 001","N00TPmBoIls","Elegu Town Council","nU9ascOQzge","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Orapwoyo Subcounty Field Survey Station 001","aGQqkkQQzXc","Orapwoyo Subcounty","mkEOJ0Mehgp","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Pabo Subcounty Field Survey Station 002","UDIcZADBS92","Pabo Subcounty","EgcvIoAN7Ti","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 001","ifmbldJaNrM","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Bobi Subcounty Field Survey Station 001","bah36yY0P6q","Bobi Subcounty","FjaBJw5pfW8","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Awere Subcounty Field Survey Station 003","Mg3L2Y1ndt7","Awere Subcounty","OkLwuZ0WpVb","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 002","k1Ady0jT3QS","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 003","aY4QRB6dKBj","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 003","AbgTvK9gyhA","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 004","Az3dr4kZboc","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 005","gNOc58wzKHx","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Lii Subcounty Field Survey Station 001","d9upGtVO7uQ","Lii Subcounty","lKPVaCs4EKn","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Lalogi Subcounty Field Survey Station 001","yBp7s5Kti5g","Lalogi Subcounty","Jwnd2Jayc4g","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 006","aoBupw5zrMP","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 004","pXRws5D6wrR","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Bungatira Subcounty Field Survey Station 001","KBjtlZguP00","Bungatira Subcounty","LNkFivzpeA1","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Koch-Goma Subcounty Field Survey Station 001","rKGazd2JbUJ","Koch-Goma Subcounty","Ed2uyXvmovM","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Palabek Gem Subcounty Field Survey Station 002","gzqo9YKPZx1","Palabek Gem Subcounty","a1HgVn8Q288","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Paicho Subcounty Field Survey Station 001","apGje3lIGEP","Paicho Subcounty","OKIyTJatyIr","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Adilang Town Council Field Survey Station 002","G51dLKvQTxh","Adilang Town Council","nXAQOdNQCIo","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Lokung Subcounty Field Survey Station 001","XBRMWAS3FO2","Lokung Subcounty","q5gtDb5elfP","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Odek Subcounty Field Survey Station 002","yEukLFOEQ1X","Odek Subcounty","acQJJL9aUo0","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Pager Division Field Survey Station 001","CK05rJs1H25","Pager Division","a9NzDoLn9kz","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Labora Subcounty Field Survey Station 001","G5TWtCf4cuS","Labora Subcounty","wZJNRLqCyXo","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Kalongo Town Council Field Survey Station 001","y8q1syPdfdK","Kalongo Town Council","RXwynIETRuW","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Lakwaya Subcounty Field Survey Station 001","fLGGzlZfyOJ","Lakwaya Subcounty","coaoxeAQ63Z","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Porogali Subcounty Field Survey Station 001","Du5ZInfaPW0","Porogali Subcounty","dIzjMUl4O3X","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Elegu Town Council Field Survey Station 002","O3KU4kLq6PT","Elegu Town Council","nU9ascOQzge","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Elegu Town Council Field Survey Station 003","OgYKIobOLya","Elegu Town Council","nU9ascOQzge","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Koro Subcounty Field Survey Station 001","IewGdN6LaWm","Koro Subcounty","q03uh0SJ0N9","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Anaka Town Council Field Survey Station 002","s6nvpDfR2Vg","Anaka Town Council","wGT5jjiP2kz","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 005","aLYCBzAcgPU","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Koch Goma Town Council Field Survey Station 001","JzFXi2QJM1b","Koch Goma Town Council","ZUgWbD4nVgr","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Omoro Town Council Field Survey Station 001","UUxtPvznkZX","Omoro Town Council","doqbXRMc7VZ","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 006","DgcoJ3W21vA","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 004","AcJBataZEgg","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Bobi Subcounty Field Survey Station 002","FvWwsC1Skpw","Bobi Subcounty","FjaBJw5pfW8","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Geregere Subcounty Field Survey Station 001","WgXtPbUAyJD","Geregere Subcounty","ollO9yOclEb","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 007","UpumtCGZcN0","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Anaka Town Council Field Survey Station 003","i37kvNZojdz","Anaka Town Council","wGT5jjiP2kz","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Palabek Kal Subcounty Field Survey Station 001","Rm1RDQip79X","Palabek Kal Subcounty","KhXTdz48N9o","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 008","LIuykl04kI9","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Lungulu Subcounty Field Survey Station 001","TF8Nekqc89W","Lungulu Subcounty","bCNDIuzKOcc","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 007","fLjNMAg4ymN","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Gotapwoyo Subcounty Field Survey Station 001","C8f6w3L7MNE","Gotapwoyo Subcounty","qfuKjuPQLQ4","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Labora Subcounty Field Survey Station 002","yliSQxc1HA2","Labora Subcounty","wZJNRLqCyXo","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Paicho Subcounty Field Survey Station 002","RefkDqDX6jq","Paicho Subcounty","OKIyTJatyIr","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 009","RsY5tCgiuHp","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 008","ac0AKXEU6Cz","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 010","x1UaYpPwx6c","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 009","afGTmR6EesS","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 011","i7JbInoEb2D","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 010","QDc7Wijvfca","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 011","GDyo7zIJZ29","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
